Stn_# Station                  Stn_Freq    Time_Offset    Stn_Lon    Ref_Lon
  339 HPLAINS   :A250148         60         240           -102.92     -50.00
  340 DATSAV3   :725475:KMXO     60         180            -91.17     -50.00
  341 HPLAINS   :A256019         60         180            -96.95     -50.00
  342 DATSAV3   :725570:KSUX     60         180            -96.38     -50.00
  343 DATSAV3   :725470:KDBQ     60         180            -90.70     -50.00
  344 ASOSH     :SUX             60         180            -96.38     -50.00
  345 ASOSH     :DBQ             60         180            -90.71     -50.00
  346 DATSAV3   :725478:KEBS     60         180            -93.87     -50.00
  347 DATSAV3   :725566:KONL     60         180            -98.68     -50.00
  348 HPLAINS   :A256299         60         180            -98.75     -50.00
  349 DATSAV3   :725866:KTWF     60         240           -114.48     -50.00
  350 DATSAV3   :725867:KBYI     60         240           -113.77     -50.00
  351 HPLAINS   :A250059         60         180            -99.82     -50.00
  352 DATSAV3   :725490:KFOD     60         180            -94.18     -50.00
  353 DATSAV3   :725480:KALO     60         180            -92.40     -50.00
  354 ASOSH     :ALO             60         180            -92.40     -50.00
  355 DATSAV3   :726710:KBPI     60         240           -110.10     -50.00
  356 DATSAV3   :725556:KANW     60         180           -100.00     -50.00
  357 ASOSH     :BPI             60         240           -110.11     -50.00
  358 DATSAV3   :725488:KOLZ     60         180            -91.97     -50.00
  359 HPLAINS   :A133259         60         180            -94.42     -50.00
  360 DATSAV3   :726816:KJER     60         240           -114.45     -50.00
  361 ASOSH     :JER             60         240           -114.46     -50.00
  362 HPLAINS   :A253359         60         180           -102.17     -50.00
  363 DATSAV3   :725458:KCAV     60         180            -93.77     -50.00
  364 DATSAV3   :725686:KDGW     60         240           -105.37     -50.00
  365 DATSAV3   :725484:KLRJ     60         180            -96.20     -50.00
  366 ASOSH     :DGW             60         240           -105.39     -50.00
  367 DATSAV3   :725760:KLND     60         240           -108.73     -50.00
  368 DATSAV3   :725636:KCDR     60         240           -103.10     -50.00
  369 ASOSH     :VTN             60         180           -100.55     -50.00
  370 DATSAV3   :725670:KVTN     60         180           -100.55     -50.00
  371 DATSAV3   :726507:KMRJ     60         180            -90.23     -50.00
  372 DATSAV3   :725690:KCPR     60         240           -106.47     -50.00
  373 NPN       :MRRN            60         180           -101.69     -50.00
  374 ASOSH     :CPR             60         240           -106.46     -50.00
  375 ASOSH     :PIH             60         240           -112.60     -50.00
  376 DATSAV3   :725780:KPIH     60         240           -112.57     -50.00
  377 DATSAV3   :726525:KYKN     60         180            -97.38     -50.00
  378 HPLAINS   :A135879         60         180            -92.53     -50.00
  379 DATSAV3   :726517:KIEN     60         240           -102.52     -50.00
  380 ASOSH     :RIW             60         240           -108.46     -50.00
  381 DATSAV3   :725765:KRIW     60         240           -108.47     -50.00
  382 HPLAINS   :A390669         60         180            -96.93     -50.00
  383 DATSAV3   :725457:KAXA     60         180            -94.27     -50.00
  384 DATSAV3   :725485:KMCW     60         180            -93.33     -50.00
  385 ASOSH     :OVS             60         180            -90.68     -50.00
  386 ASOSH     :SPW             60         180            -95.20     -50.00
  387 DATSAV3   :726500:KSPW     60         180            -95.15     -50.00
  388 DATSAV3   :725495:KSHL     60         180            -95.83     -50.00
  389 NPN       :BLRW            60         180            -90.53     -50.00
  390 DATSAV3   :725476:KDEH     60         180            -91.73     -50.00
  391 DATSAV3   :726518:KSFD     60         180            -99.83     -50.00
  392 ASOSH     :SFD             60         180            -99.84     -50.00
  393 DATSAV3   :726499:KEST     60         180            -94.75     -50.00
  394 ASOSH     :EST             60         180            -94.75     -50.00
  395 DATSAV3   :725865:KSUN     60         240           -114.30     -50.00
  396 ASOSH     :IDA             60         240           -112.07     -50.00
  397 DATSAV3   :725785:KIDA     60         240           -112.07     -50.00
  398 ASOSH     :FSD             60         180            -96.74     -50.00
  399 DATSAV3   :726510:KFSD     60         180            -96.75     -50.00
  400 DATSAV3   :725776:KJAC     60         240           -110.73     -50.00
  401 DATSAV3   :726587:KOTG     60         180            -95.58     -50.00
  402 DATSAV3   :726593:KMJQ     60         180            -94.98     -50.00
  403 DATSAV3   :726586:KFRM     60         180            -94.42     -50.00
  404 DATSAV3   :727566:KAUM     60         180            -92.93     -50.00
  405 DATSAV3   :726589:KAEL     60         180            -93.37     -50.00
  406 ASOSH     :CUT             60         240           -103.63     -50.00
  407 ASOSH     :9V9             60         180            -99.32     -50.00
  408 DATSAV3   :726545:KMHE     60         180            -98.03     -50.00
  409 HPLAINS   :A391619         60         180            -99.33     -50.00
  410 DATSAV3   :726530:K9V9     60         180            -99.32     -50.00
  411 DATSAV3   :726818:KRXE     60         240           -111.78     -50.00
  412 ASOSH     :RXE             60         240           -111.81     -50.00
  413 DATSAV3   :726430:KLSE     60         180            -91.25     -50.00
  414 ASOSH     :RST             60         180            -92.50     -50.00
  415 DATSAV3   :727506:KMWM     60         180            -95.12     -50.00
  416 DATSAV3   :726440:KRST     60         180            -92.50     -50.00
  417 DATSAV3   :726665:KWRL     60         240           -107.95     -50.00
